vx,vy,omega,theta,x,y,e_x,,0.5-x,P1 LHS,P1 RHS,,,"""-0.5-x","""-0.79<th","""th<-0.74",P2 LHS,"""0.184<ex","""ex<0.19",P2 RHS,,"""om>0","""vy<-0.3",P3 LHS,P3 RHS,,P1-2 LHS,P1-2 RHS,,"""-2<y<2","""-0.7869<th","""th<-0.747",P2 RHS,,isabove ystar=2?,,,,
3.22321893,-0.06627408,0.006136287,-0.755209072,29.04990504,-29.67049337,0.189480453,,-28.54990504,FALSE,TRUE,,,-29.54990504,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.217075903,-0.066813704,0.005140345,-0.752419406,30.20102748,-30.79665979,0.189600535,,-29.70102748,FALSE,TRUE,,,-30.70102748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.211741798,-0.067295389,0.004191578,-0.750114352,31.35274214,-31.91812071,0.189712087,,-30.85274214,FALSE,TRUE,,,-31.85274214,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.207202823,-0.067718737,0.003298854,-0.748267928,32.50481909,-33.03567625,0.189814718,,-32.00481909,FALSE,TRUE,,,-33.00481909,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.203434245,-0.068084273,0.002469237,-0.746850212,33.65705963,-34.15008631,0.189908223,,-33.15705963,FALSE,TRUE,,,-34.15705963,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,
3.200401715,-0.06839338,0.001707967,-0.745828248,34.80929428,-35.26206349,0.189992567,,-34.30929428,FALSE,TRUE,,,-35.30929428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,
3.198062764,-0.068648196,0.001018501,-0.745166944,35.96138056,-36.37226761,0.190067858,,-35.46138056,FALSE,TRUE,,,-36.46138056,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.1963684,-0.068851516,0.000402598,-0.744829943,37.11320053,-37.48130176,0.190134326,,-36.61320053,FALSE,TRUE,,,-37.61320053,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.195264746,-0.069006671,-0.00013956,-0.744780432,38.26465843,-38.58970981,0.190192306,,-37.76465843,FALSE,TRUE,,,-38.76465843,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.194694663,-0.069117408,-0.000609219,-0.744981891,39.41567821,-39.69797533,0.190242209,,-38.91567821,FALSE,TRUE,,,-39.91567821,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.194599303,-0.069187769,-0.001008852,-0.745398757,40.56620124,-40.80652181,0.19028451,,-40.06620124,FALSE,TRUE,,,-41.06620124,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.194919538,-0.069221965,-0.001341929,-0.745996972,41.71618408,-41.91571395,0.190319722,,-41.21618408,FALSE,TRUE,,,-42.21618408,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
0.969114577,-0.292512056,-0.268122242,-0.068005878,0.482645864,1.697226817,0.19,,0.017354136,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
1.182395975,-0.537869316,-0.321822683,-0.224654215,0.97149267,1.410938738,0.193,,-0.47149267,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
1.610671867,-0.604743312,-0.206416373,-0.36176589,1.54422484,0.923092312,0.192433086,,-1.04422484,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.040697656,-0.384539341,-0.319719411,-0.466948392,2.286953438,0.318565112,0.192249016,,-1.786953438,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.335941467,-0.212748111,-0.34863335,-0.652289612,3.137040573,-0.383248315,0.193,,-2.637040573,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,
2.657818151,-0.138637496,-0.213748852,-0.792597062,4.010098229,-1.279320381,0.193,,-3.510098229,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,
2.939482443,-0.093290522,-0.097090283,-0.867348439,4.908552923,-2.357269115,0.189758671,,-4.408552923,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,
3.141558758,-0.068405013,-0.027794539,-0.896238858,5.843035285,-3.561418614,0.187338713,,-5.343035285,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,
3.26805811,-0.057333153,0.002941192,-0.901302031,6.816454652,-4.838126244,0.186941699,,-6.316454652,TRUE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.339264639,-0.053291013,0.01397223,-0.896618791,7.823657777,-6.149980136,0.187190162,,-7.323657777,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.37505814,-0.05226009,0.017065619,-0.888716322,8.856745611,-7.474681809,0.187433763,,-8.356745611,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.389807447,-0.052357914,0.017675907,-0.87999694,9.908787663,-8.799934934,0.187545061,,-9.408787663,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.392536701,-0.052851252,0.017733327,-0.871140028,10.97495286,-10.11911187,0.187575218,,-10.47495286,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.388502187,-0.053496131,0.017721382,-0.862278314,12.05222805,-11.42860612,0.187585978,,-11.55222805,TRUE,TRUE,TRUE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.380655996,-0.054219959,0.017678611,-0.853432997,13.13879307,-12.72642155,0.187609259,,-12.63879307,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.370643981,-0.054999509,0.017559617,-0.844631348,14.2335041,-14.01145655,0.187655355,,-13.7335041,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.359400459,-0.055822745,0.017328859,-0.83592105,15.33556583,-15.28314092,0.187724967,,-14.83556583,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.347478859,-0.056679437,0.016971089,-0.827361981,16.44434889,-16.541247,0.187815625,,-15.94434889,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.335229201,-0.05755961,0.016484865,-0.819017808,17.55929638,-17.78578749,0.187924107,,-17.05929638,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
